etre;to be;suis;irregular
avoir;to have;ai;irregular
aller;to go;vais;irregular
pouvoir;to be able to;peux;
vouloir;to want;veux;
faire;to do;fais;
parler;to speak;perle;regular
demander;to ask;demande;regular
savoir;to know;sais;
venir;to come;viens;irregular
dire;to say;;irregular
devoir;to have/ to must;;irregular
donner;to give;donne;regular
falloir;to need/to be necessary;;irregular
trouver;to find;trouve;regular
manger;to eat;mange;regular
rendre;to return/ give back;;regular
mettre;to put;;irregular
rester;to stay;reste;regular
tenir;to hold;;irregular
prendre;to take;;irregular
passer;to pass;passe;regular
comprendre;to understand;;irregular
sortir/partir;to leave;;irregular
